Topic Category,PDF,Text
total number of health or treatment terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Mental health education, including education about mental health conditions, mental health well-being, skills to manage emotions, establishing and maintaining positive relationships, and responsible decision-making; 3."
total number of drug or alcohol terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Substance abuse education, including education about alco- hol abuse, prescription drug abuse, and abuse of other con- trolled substances; 4."
total number of health or treatment terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"If the district requires health education for high school graduation, health education, including physical health education and mental health education, in grades 9 through 12."
total number of health or treatment terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Policies, procedures, strategies, and curriculum appropriate for specific grade levels designed to prevent physical health concerns, including obesity, cardiovascular disease, Type 2 diabetes, and mental health concerns, including suicide, through coordination of: a."
total number of health or treatment terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Health education, which must address physical health concerns and mental health concerns to ensure the inte- gration of physical health education and mental health education; b."
total number of health or treatment terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"School health services, including physical health ser- vices and mental health services, if provided at a cam- pus by the district or by a third party under a contract with the district; b."
total number of drug or alcohol terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Risky behaviors and early warning signs of suicide risks and behavioral health concerns, including mental health disorders and substance use disorders; and b."
total number of drug or alcohol terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Appropriate grade levels and curriculum for instruction regard- ing the dangers of opioids, including instruction on: a. Opioid addiction and abuse, including addiction to and abuse of synthetic opioids such as fentanyl; and b."
total number of drug or alcohol terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,Methods for administering an opioid antagonist; and 8.
total number of disciplinary terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Remove the student from any part of that instruction without subjecting the student to any disciplinary action, academic penalty, or other sanction imposed by the dis- trict or the student’s school; and c. Use the grievance procedure at FNG or the appeals process under Education Code 7.057 concerning a com- plaint of a violation of Education Code 28.004; 4."
total number of disciplinary terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Remove the student from any part of the district's in- struction relating to the prevention of child abuse, family violence, dating violence, and sex trafficking without sub- jecting the student to any disciplinary action, academic penalty, or other sanction imposed by the district or the student's school; and c. Use the grievance procedure at FNG or the appeals process under Education Code 7.057 concerning a com- plaint of a violation of Education Code 28.004; 4."
number of times drug and alcohol use prevention programs are mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Education Code 28.004(e-2), (j)-(j-2), (q-2) A district must adopt a character education program that includes the following positive character education traits and personal skills: 1."
number of times drug and alcohol use prevention programs are mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"In developing or selecting a character education program under Education Code 29.906, a district shall consult with a committee selected by the district that consists of parents of district students, educators, and other members of the community, including com- munity leaders."
number of times drug and alcohol use prevention programs are mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,19 TAC 74.3(b)(5) A district shall use the parenting and paternity awareness program developed by the SBOE in its high school health curriculum.
total number of drug or alcohol terms mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,"Education Code 28.002(p); 19 TAC 74.35(a) A district shall incorporate instruction in the dangers, causes, con- sequences, signs, symptoms, and treatment of binge drinking and alcohol poisoning into any course meeting a requirement for a health education credit."
total number of drug or alcohol terms mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,"A district shall choose an evidence-based alcohol awareness pro- gram to use in the district’s middle school, junior high school, and high school health curriculum from a list of programs approved by the commissioner for this purpose."
total number of drug or alcohol terms mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,"“Evidence-based alcohol awareness program” means a program, practice, or strategy that has been proven to effectively prevent or delay alcohol use among students, as determined by evaluations that use valid and reliable measures and that are published in peer-reviewed journals."
total number of drug or alcohol terms mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,Education Code 28.002(r); 19 TAC 74.35(b) A district shall annually provide research-based instruction related to fentanyl abuse prevention and drug poisoning awareness to stu- dents in grades 6 through 12.
total number of drug or alcohol terms mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,"Health education that includes information about substance use and abuse, including youth substance use and abuse."
total number of health or treatment terms mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,An organization employing mental health professionals.
total number of drug or alcohol terms mentioned,EHBK_LEGAL_-_Special_Programs_Other_Instructional_Initiatives_LEGAL.pdf,"Gov’t Code 662.111 To educate students about the dangers posed by the drug fentanyl and the risks of fentanyl poisoning, including overdose, the gover- nor shall designate a week to be known as Fentanyl Poisoning Awareness Week in public schools."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"Consents to examination and treatment for drug or chemical addiction, drug or chemical dependency, or any other condi- tion directly related to drug or chemical use."
total number of disciplinary terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"1 TAC 354.1432(5) Upon adoption of policies concerning the administration of medication to students by district employees, the district, its board, and its employees are immune from civil liability and administrative disciplinary action for damages or injuries resulting from the administration of medication to a student if: 1."
"number of times health-services staff such as school nurses, social workers, psychologists, or substance use counselors are mentioned",FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"From a properly labeled unit dosage container filled by a registered nurse or another qualified district employee, as determined by district policy, from a container that ap- pears to be the original container and to be properly la- beled."
"number of times health-services staff such as school nurses, social workers, psychologists, or substance use counselors are mentioned",FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"A policy adopted concerning the administration of medication to students by district employees may permit a district employee, in- cluding a nurse, to administer nonprescription medication to a stu- dent without further authorization or written protocol from the stu- dent's health-care provider if: 1."
"number of times health-services staff such as school nurses, social workers, psychologists, or substance use counselors are mentioned",FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"If a district provides liability insurance for a licensed physician or registered nurse who provides volunteer services to the district, a board may allow the physician or nurse to administer to any stu- dent nonprescription medication or medication currently prescribed for the student by the student’s health-care provider."
total number of health or treatment terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"The student has demonstrated to the student’s physician or other licensed health-care provider and the school nurse, if available, the skill level necessary to self-administer the pre- scription medication, including the use of any device required to administer the medication; 3."
total number of health or treatment terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"The physician’s statement must be kept on file in the school nurse’s office, or, if there is no school nurse, in the office of the principal of the school the student attends."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,Education Code 38.015 A student may possess and use a topical sunscreen product while on school property or at a school-related event or activity to avoid overexposure to the sun and not for the medical treatment of an in- jury or illness if the product is approved by the federal Food and Drug Administration for over-the-counter use.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"Education Code 38.011(a), (c) An employee of a district is prohibited from requiring a child to ob- tain a prescription for a substance covered under the federal Con- trolled Substances Act (21 U.S.C."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"Health and Safety Code 488.005 Each district shall adopt and implement a policy regarding the maintenance, administration, and disposal of opioid antagonists at each campus in the district that serves students in grades 6 through 12 and may adopt and implement such a policy at each campus in the district, including campuses serving students in a grade level below grade 6."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,Provide that school personnel and school volunteers who are authorized and trained may administer an opioid antagonist to a person who is reasonably believed to be experiencing an opioid-related drug overdose; 2.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,Establish the number of opioid antagonists that must be avail- able at each campus at any given time; and 4.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,Require that the supply of opioid antagonists at each school campus subject to a policy adopted under this provision must be stored in a secure location and be easily accessible to school personnel and school volunteers authorized and trained to administer an opioid antagonist.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"“Opioid antagonist” as defined in Health and Safety Code 483.101, means any drug that binds to opioid receptors and blocks or other- wise inhibits the effects of opioids acting on those receptors."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"“Opioid-related drug overdose” as defined in Health and Safety Code 483.101, means a condition, evidenced by symptoms of ex- treme physical illness, decreased level of consciousness, constric- tion of the pupils, respiratory depression, or coma, that a layperson would reasonably believe to be the result of the consumption or use of an opioid."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"25 TAC 40.82(2)-(3), (5)-(6) Once a district adopts an opioid antagonist medication policy, a campus implementing an opioid policy must stock opioid antago- nist medication."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"A campus must obtain a prescription from a physician or a person who has been delegated prescriptive authority to stock, possess, and maintain the established number of doses of opioid antago- nists as determined by a district, on each campus as described in Education Code 38.225 (Prescription of Opioid Antagonists)."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,25 TAC 40.85(a)-(b) A physician or person who has been delegated prescriptive author- ity under Occupations Code Chapter 157 may prescribe opioid an- tagonists in the name of a school district.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"Education Code 38.225(a); 25 TAC 40.85(c) The unassigned opioid antagonist medication must be stored in a secure location and be easily accessible, in accordance with the manufacturer's guidelines and local policy of the district."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"Used, unassigned opioid antagonists are considered infectious waste and must be disposed of according to the school’s blood- borne pathogen control policy."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"Expired, unassigned opioid antagonists must be disposed of in ac- cordance with the Federal Drug Administration’s disposal of un- used medications guidelines and local policy of the district."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,25 TAC 40.85(d)-(f) The campus must submit the report no later than the 10th business day after the date a school personnel member or school volunteer administers an opioid antagonist in accordance with the unas- signed opioid antagonist medication policy.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,The physician or other person who prescribed the opioid an- tagonist; and 3.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"Whether the person who received the administration of the opioid antagonist was a student, a school personnel member or school volunteer, or a visitor; 3."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,The physical location where the opioid antagonist was admin- istered; 4.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,The number of doses of opioid antagonist administered; 5.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,The title of the person who administered the opioid antago- nist; and 6.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,Education Code 38.223(b) Records relating to implementing and administering the district unassigned opioid antagonist medication policy must be retained per the campus record retention schedule.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,25 TAC 40.87(a) A district that adopts an opioid antagonist policy is responsible for training school personnel and school volunteers in the administra- tion of an opioid antagonist.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,Recognizing the signs and symptoms of an opioid-related drug overdose; 2.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,Responding to an opioid-related drug overdose and adminis- tering an opioid antagonist; 3.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"Implementing emergency procedures, after administering an opioid antagonist; 4."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,Properly disposing of used or expired opioid antagonists.
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"Be provided annually in a formal training session or through online education, including practicing the administration of an opioid antagonist with an opioid antagonist trainer device; and 2."
total number of disciplinary terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"Education Code 38.226 A person who in good faith takes, or fails to take, any action under Education Code Chapter 38, Subchapter E-1 is immune from civil or criminal liability or disciplinary action resulting from that action or failure to act as described by Education Code 38.227."
total number of drug or alcohol terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"Education Code 38.208(b); 25 TAC 40.65(a)(2) “Epinephrine delivery system"" means a medical delivery device ap- proved by the United States Food and Drug Administration that de- livers a dose of epinephrine intended for use to treat anaphylaxis, including: 1."
total number of disciplinary terms mentioned,FFAC_LEGAL_-_Wellness_and_Health_Services_Medical_Treatment_LEGAL.pdf,"Education Code 38.208(d-2) A person who in good faith takes, or fails to take, any action related to Education Code Chapter 38, Subchapter E, related to the main- tenance and administration of epinephrine delivery systems and medication for respiratory distress, is immune from civil or criminal liability or disciplinary action resulting from that action or failure to act as described by Education Code 38.215 and 25 Administrative Code 40.49."
number of times drug and alcohol use prevention programs are mentioned,FFAC_LOCAL_-_Wellness_and_Health_Services_Medical_Treatment_LOCAL.pdf,Herbal substances or dietary supplements provided by the parent and only if required by the individualized education program or Section 504 plan for a student with disabilities.
total number of drug or alcohol terms mentioned,FFAC_LOCAL_-_Wellness_and_Health_Services_Medical_Treatment_LOCAL.pdf,The District authorizes school personnel who have been ade- quately trained to administer an opioid antagonist in accordance with law and this policy.
total number of drug or alcohol terms mentioned,FFAC_LOCAL_-_Wellness_and_Health_Services_Medical_Treatment_LOCAL.pdf,Administration of an opioid antagonist shall only be permitted when an authorized and trained individual rea- sonably believes a person is experiencing an opioid-related over- dose.
total number of drug or alcohol terms mentioned,FFAC_LOCAL_-_Wellness_and_Health_Services_Medical_Treatment_LOCAL.pdf,Each applicable campus shall have at least one individual who is authorized and trained to administer an opioid antagonist present during regular school hours.
total number of drug or alcohol terms mentioned,FFAC_LOCAL_-_Wellness_and_Health_Services_Medical_Treatment_LOCAL.pdf,"Each applicable campus shall have at least two unused, unexpired opioid antagonist doses available."
total number of drug or alcohol terms mentioned,FFAC_LOCAL_-_Wellness_and_Health_Services_Medical_Treatment_LOCAL.pdf,All opioid antagonists shall be stored in a secure location and shall be easily accessible by individuals who are authorized and trained to administer an opioid antagonist.
total number of drug or alcohol terms mentioned,FFAC_LOCAL_-_Wellness_and_Health_Services_Medical_Treatment_LOCAL.pdf,Recommend to a student or a parent that the student use a psychotropic drug; 2.
total number of health or treatment terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"Specific interventions, including mental health or behavioral supports; 2."
number of times suspension or synonyms are mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,Out-of-school suspension; or 4.
total number of disciplinary terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,The student’s expulsion or removal to a disciplinary alterna- tive education program (DAEP) or a juvenile justice alterna- tive education program (JJAEP).
total number of drug or alcohol terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"The superintendent shall ensure, to the greatest extent practicable, that the members appointed to each team have expertise in coun- seling, behavior management, mental health and substance use, classroom instruction, special education, school administration, school safety and security, emergency management, and law en- forcement."
number of times drug and alcohol use prevention programs are mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"If a student in a special education program under Education Code Chapter 29, Subchapter A, is the subject of a threat assessment, the team conducting the assessment must include at least one per- son who has specific knowledge of the student's disability and the disability's manifestations and who is: 1."
"number of times health-services staff such as school nurses, social workers, psychologists, or substance use counselors are mentioned",FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,A clinical or master social worker licensed under Occupations Code Chapter 505; or 4.
"number of times health-services staff such as school nurses, social workers, psychologists, or substance use counselors are mentioned",FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,A licensed clinical or licensed master social worker; or 6.
total number of drug or alcohol terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"A committee with oversight responsibility must include members with expertise in hu- man resources, education, special education, counseling, behavior management, school administration, mental health and substance use, school safety and security, emergency management, and law enforcement."
total number of health or treatment terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,Referring a student for mental health assessment; and b.
total number of health or treatment terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,A team may not provide a mental health-care service to a student who is under 18 years of age unless the team obtains written con- sent from the parent of or the person standing in parental relation to the student before providing the mental health-care service.
number of times drug and alcohol use prevention programs are mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,A team identifying a student at risk of suicide shall act in accor- dance with the district’s suicide prevention program.
number of times drug and alcohol use prevention programs are mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"If the student at risk of suicide also makes a threat of violence to others, the team shall conduct a threat assessment in addition to actions taken in accordance with the district’s suicide prevention program."
total number of drug or alcohol terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"A team identifying a student using or possessing tobacco, drugs, or alcohol shall act in accordance with district policies and procedures related to substance use prevention and intervention."
number of time transfer or referral to disciplinary alternative school is mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"Education Code 37.115(j-1) [For information regarding the transfer of threat assessment records between school districts, see FD and FDA.]"
total number of disciplinary terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"Any disciplinary action taken, including a change in school placement; b."
total number of health or treatment terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"Any action taken by law enforcement; or c. A referral to or change in counseling, mental health, spe- cial education, or other services; 4."
number of times trauma-informed care or synonyms are mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"A best-practices program or research-based practice un- der Education Code 38.351 [see FFEB], including the number and percentage of school personnel trained in suicide prevention or grief and trauma-informed prac- tices; b."
total number of health or treatment terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,Mental health or psychological first aid for schools; c. Training relating to the safe and supportive school pro- gram; or d. Any other program relating to safety identified by the commissioner.
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"For personnel information about mental health professionals, see DP."
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"“Mental health condition” means a persistent or recurrent pattern of thoughts, feelings, or behaviors that: 1."
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"Constitutes a mental illness, disease, or disorder, other than or in addition to epilepsy, substance abuse, or an intellectual disability; or 2."
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,Early mental health prevention and intervention; 2.
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,Substance abuse prevention and intervention; 4.
number of times trauma-informed care or synonyms are mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,Grief-informed and trauma-informed practices; 6.
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"A district shall develop practices and procedures concerning each area listed above, including mental health promotion and interven- tion, substance abuse prevention and intervention, and suicide pre- vention, that: 1."
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"Include a procedure for providing notice of a recommendation for early mental health or substance abuse intervention re- garding a student to a parent or guardian of the student within a reasonable amount of time after the identification of early warning signs, which may include declining academic perfor- mance, depression, anxiety, isolation, unexplained changes in sleep or eating habits, and destructive behavior toward self and others; 3."
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,Establish that the district may develop a reporting mechanism and may designate at least one person to act as a liaison offi- cer in the district for the purposes of identifying students in need of early mental health or substance abuse intervention or suicide prevention; 5.
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,Set out available counseling alternatives for a parent or guardian to consider when his or her child is identified as pos- sibly being in need of early mental health or substance abuse intervention or suicide prevention; and 6.
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,To support the return of a student to school following hospitalization or residential treatment for a mental health condition or substance abuse; and b.
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,The practices and procedures must prohibit the use without the prior consent of a student’s parent or guardian of a medical screening of the student as part of the process of identifying whether the student is possibly in need of early mental health or substance abuse intervention or suicide pre- vention.
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,Practices and procedures developed in accor- dance with these provisions are intended to notify a parent or guardian of a need for mental health or substance abuse interven- tion so that a parent or guardian may take appropriate action.
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"A licensed or certified physician, psychologist, counselor, or social worker having reasonable grounds to believe that a child has been sexually, physically, or emotionally abused; is contemplating sui- cide; or is involved in chemical or drug addiction or dependency may: 1."
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"The physician, psychologist, counselor, or social worker may not counsel a child if consent is prohibited by a court order, unless consent is obtained as otherwise allowed by law."
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"Family Code 32.004(b), (c) [See DP for more information about LSSP and school counselor responsibilities.]"
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,Family Code 32.004(d) Neither a district nor an employee of a district may refer a student to an outside counselor for care or treatment of a chemical depen- dency or an emotional or psychological condition unless the district does all of the following: 1.
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"Discloses to the student’s parent, managing conservator, or guardian any relationship between the district and the outside counselor."
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,See FFB for mental health-care services provided by the threat assessment and safe and supportive school team.]
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,Recommend that a student use a psychotropic drug; or 2.
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"Use the refusal by a parent to consent to administration of a psychotropic drug to a student or to a psychiatric evaluation or examination of a student as grounds, by itself, for prohibit- ing the child from attending a class or participating in a school-related activity."
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"Psychotropic drug means a substance that is used in the diagno- sis, treatment, or prevention of a disease or as a component of a medication and intended to have an altering effect on perception, emotion, or behavior."
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"Prohibit a school district employee, or an employee of an en- tity with which the district contracts, who is a registered nurse, advanced nurse practitioner, physician, or nonphysician men- tal health professional licensed or certified to practice in this state from recommending that a child be evaluated by a physician or nonphysician mental health professional; or 3."
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,Nonphysician mental health professional has the meaning as- signed by Education Code 38.0101 [see DP].
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"An employee may not use or threaten to use the refusal of a par- ent, guardian, or managing or possessory conservator to adminis- ter or consent to the administration of a psychotropic drug to a child, or to consent to any other psychiatric or psychological testing or treatment of the child, as the sole basis for making a report of neglect, unless the employee has cause to believe that the refusal: 1."
total number of drug or alcohol terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"The current use by a person of a controlled substance as de- fined by Health and Safety Code Chapter 481, in a manner or to the extent that the use results in physical, mental, or emo- tional injury to a child; 10."
total number of drug or alcohol terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"Causing, expressly permitting, or encouraging a child to use a controlled substance as defined by Health and Safety Code Chapter 481; 11."
total number of health or treatment terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"The person’s refusal is based solely on the person’s in- ability to obtain mental health services necessary to pro- tect the safety and well-being of the child; and c. The person has exhausted all reasonable means avail- able to the person to obtain the mental health services described at item b, above; 2."
number of time transfer or referral to disciplinary alternative school is mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,Transfer the child’s medical care to a new medical provider; c. Transfer the child to another health care facility; 4.
total number of health or treatment terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"Choosing a recognized alternative health-care treatment or therapy for the child that could be considered as new, emerg- ing, or nonstandard, unless the treatment or therapy presents a substantial risk of death, disfigurement, or bodily injury to the child or results in an observable and material impairment to the growth, development, or functioning of the child; or 6."
